company,ch_company_name,company_number,company_type,company_status,sic_codes,industry_sector,incorporation_date,company_age_years,region,accounts_type
NQFQ,Thomas & Lewis 016,00129556,ltd,dissolved,7499,Professional Services,1913-06-12,112.6,West Yorkshire,full
GammaWork,Martin & Brown,13610321,ltd,dissolved,73110,Professional Services,2021-09-08,4.4,London,dormant
Manchester Technologies,Jones & Taylor 321,09263278,ltd,active,46499,Wholesale & Retail,2014-10-14,11.3,Powys,total-exemption-full
Chester Technologies,Elite Design 328,06556905,ltd,dissolved,43390,Construction,2008-04-07,17.8,Birmingham,total-exemption-small
Morgan & Lewis 326,Brighton Media 327,12213674,ltd,active,"49390,52219,52290",Transport & Storage,2019-09-18,6.4,London,micro-entity
Ultra Associates 329,Roberts & Morgan 330,NI718175,ltd,active,"47530,47910",Wholesale & Retail,2024-07-10,1.6,Belfast,dormant
KRM 331,Vector Communications 333,01811630,ltd,dissolved,18129,Manufacturing,1984-04-26,41.8,Cambridge,full
Sigma Technologies 335,Express Enterprises 338,08075453,ltd,active,82990,Administrative Services,2012-05-18,13.7,Oxfordshire,micro-entity
Precision Media 339,Flex Creative 334,02024802,ltd,active,47710,Wholesale & Retail,1986-06-03,39.7,London,full
Gamma Technologies 340,FXW 341,11962135,ltd,active,64209,Financial Services,2019-04-25,6.8,Shropshire,dormant
Phoenix Group 342,Central Media,10383220,ltd,active,68100,Real Estate,2016-09-19,9.4,London,micro-entity
Johnson & Evans 343,Max Productions 344,05494793,ltd,dissolved,7499,Professional Services,2005-06-29,20.6,Surrey,dormant
DeltaComm 345,Oxford Media 346,03581293,ltd,active,58190,Information & Communication,1998-06-15,27.6,London,unaudited-abridged
Atlas Partners 347,TV,07995658,ltd,active,58110,Information & Communication,2012-03-19,13.9,Ipswich,dormant
Beta Productions 348,Bradford Manufacturing 349,12565216,ltd,active,18129,Manufacturing,2020-04-20,5.8,Sevenoaks,total-exemption-full
Pro Group 350,Agile Media 351,09946501,ltd,dissolved,"59112,77400",Information & Communication,2016-01-12,10.1,Cheshire,dormant
MIR 352,Wilson & Wood 353,15882848,ltd,active,73120,Professional Services,2024-08-07,1.5,Newport,
Bradford Labels 354,Eastern Group 355,13340264,ltd,active,"33190,43341,81221",Manufacturing,2021-04-16,4.8,Whitley Bay,total-exemption-full
AlphaTech 356,Johnson & King 357,09453901,ltd,active,91020,Arts & Entertainment,2015-02-23,10.9,London,micro-entity
Ultra Technologies 358,Royal Signs 359,07232926,ltd,active,18129,Manufacturing,2010-04-23,15.8,Oxon,total-exemption-full
Norwich Associates 360,EliteDisp,12793582,ltd,active,96020,Other Services,2020-08-05,5.5,Worcester,micro-entity
Birmingham Solutions 361,Taylor & King 362,SL017815,limited-partnership,active,,,2014-09-02,11.4,Scotland,null
Matrix Creative 363,TitanPart 364,11416991,ltd,active,17219,Manufacturing,2018-06-15,7.6,London,total-exemption-full
Martin & Taylor 365,SwiftPack 368,03993374,ltd,dissolved,47910,Wholesale & Retail,2000-05-15,25.7,Cardiff,total-exemption-full
Allen & Smith 366,BX 738,08640091,ltd,active,46900,Wholesale & Retail,2013-08-06,12.5,Coventry,total-exemption-full
FlexPrin 367,Pro Signs,10603577,ltd,active,"69202,70229,96090",Professional Services,2017-02-06,9.0,Bolton,micro-entity
VanguardGrap 369,Flex Solutions,13746906,ltd,active,81210,Administrative Services,2021-11-16,4.2,Bognor Regis,micro-entity
Oxford Communications 370,Norwich Creative 371,00785838,ltd,dissolved,2222,Manufacturing,1963-12-24,62.1,Herts,
WDTY 378,Continental Manufacturing,11406135,private-limited-guarant-nsc,active,98000,Household Activities,2018-06-08,7.7,Flintshire,dormant
Stellar Manufacturing 380,Edinburgh Group 612,10045324,ltd,active,90030,Arts & Entertainment,2016-03-07,9.9,Bristol,total-exemption-full
Cardiff Packaging 382,Belfast Graphics 383,03667443,ltd,active,"25110,82990",Manufacturing,1998-11-13,27.2,Lincolnshire,unaudited-abridged
Pro Industries 384,Superior Holdings 385,02649607,ltd,active,70100,Professional Services,1991-09-27,34.4,London,total-exemption-full
GammaPart 386,ZenithEnte,06217811,ltd,dissolved,74990,Professional Services,2007-04-18,18.8,Shifnal,dormant
Cambridge Solutions 387,Urban Manufacturing 388,15299686,ltd,dissolved,18129,Manufacturing,2023-11-21,2.2,Leicester,
Manchester Marketing 389,Nexus Marketing 390,12542435,ltd,active,72110,Professional Services,2020-04-01,5.8,London,micro-entity
Cardiff Display 391,RapidPrin 392,09084459,ltd,active,18129,Manufacturing,2014-06-12,11.6,Hertfordshire,total-exemption-full
Atlas Marketing 394,Sheffield Signs 393,10788547,ltd,active,82990,Administrative Services,2017-05-25,8.7,London,total-exemption-full
Evans & Wilson 395,Vector Industries 398,12081493,ltd,dissolved,86900,Health & Social,2019-07-03,6.6,Newcastle Upon Tyne,micro-entity
Metro Enterprises 396,Brown & Jackson 397,10660631,ltd,active,74100,Professional Services,2017-03-09,8.9,Leicestershire,total-exemption-full
Edwards & Jackson 399,Newcastle Productions 400,04806140,ltd,active,56101,Accommodation & Food,2003-06-20,22.6,Kent,micro-entity
Atlantic Print 401,Cambridge Creative 404,04109693,ltd,active,41100,Construction,2000-11-17,25.2,Emsworth,total-exemption-full
Horizon Productions 402,Sheffield Holdings 403,02137393,ltd,active,27400,Manufacturing,1987-06-04,38.7,Hertfordshire,medium
Stellar Solutions 405,Edinburgh Enterprises 406,13276428,ltd,dissolved,62090,Information & Communication,2021-03-18,4.9,London,total-exemption-full
ASRH 407,Global Enterprises 408,11039233,ltd,dissolved,18129,Manufacturing,2017-10-31,8.3,Bournemouth,null
EVP 409,MatrixWork 410,04110526,ltd,active,78109,Administrative Services,2000-11-20,25.2,Lincolnshire,dormant
Max Marketing 411,Liverpool Marketing 302,01208094,ltd,active,18129,Manufacturing,1975-04-17,50.8,Oxfordshire,total-exemption-full
Beta International 412,Sterling Associates,10813630,ltd,active,70229,Professional Services,2017-06-12,8.6,Northamptonshire,total-exemption-full
Nottingham Packaging 414,Zenith Print 415,00608484,ltd,active,68209,Real Estate,1958-07-23,67.5,West Midlands,micro-entity
Elite International 416,Coastal Group,16627756,ltd,active,09100,Mining,2025-08-04,0.5,Lowestoft,
Sheffield Enterprises 417,Royal Enterprises 418,NI025543,ltd,active,68209,Real Estate,1991-05-21,34.7,Co Down,micro-entity
VertexDisp 420,Allen & Harris 421,03956741,ltd,active,47710,Wholesale & Retail,2000-03-27,25.9,Lancashire,micro-entity
Leeds Systems 424,Nottingham Display 425,10347247,ltd,active,"25110,43330",Manufacturing,2016-08-26,9.4,Reading,small
Plymouth Works 427,UrbanManu 426,00782674,ltd,active,46390,Wholesale & Retail,1963-11-28,62.2,Buckingham,full
Oxford Labels 431,Brighton Manufacturing,13013491,ltd,active,74909,Professional Services,2020-11-12,5.2,Cheshire,unaudited-abridged
Continental Holdings 437,Leicester Communications 438,02728004,ltd,active,82990,Administrative Services,1992-07-02,33.6,Manchester,audit-exemption-subsidiary
Cardiff Enterprises 439,Ultra Packaging 440,09558745,ltd,dissolved,96090,Other Services,2015-04-23,10.8,London,micro-entity
AtlanticComm 441,RoyalSolu 442,03142365,ltd,active,21100,Manufacturing,1995-12-29,30.1,Lyndhurst,full
Precision Display 443,Southern Productions 444,10967713,ltd,dissolved,56101,Accommodation & Food,2017-09-18,8.4,Greater London,micro-entity
Alpha Packaging 445,,,,,,,,,,
Baker & Baker 446,Lewis & Thomas 447,05108407,ltd,active,18129,Manufacturing,2004-04-21,21.8,Devon,total-exemption-full
Vertex Creative 453,Max Services,SC386898,ltd,active,82990,Administrative Services,2010-10-12,15.3,Edinburgh,total-exemption-full
Stellar Group 455,"BAUMGARTNER D'ALLISON, LIMITED",09714568,ltd,active,74909,Professional Services,2015-08-03,10.5,Burton-Upon-Trent,micro-entity
Mitchell & Thompson 457,Green & Roberts 458,SL021297,limited-partnership,active,,,2015-07-02,10.6,Glasgow,null
ZU 466,Pacific Packaging 467,07965428,ltd,active,18129,Manufacturing,2012-02-27,13.9,Kent,total-exemption-full
Thompson & Wood 478,Nottingham Works 479,04224174,ltd,active,17219,Manufacturing,2001-05-29,24.7,Leicestershire,unaudited-abridged
Allen & Wood 481,RoyalDesi 482,07207123,private-limited-guarant-nsc,active,32990,Manufacturing,2010-03-29,15.8,Warwickshire,total-exemption-full
Urban Holdings 483,NexusInte 484,13170810,ltd,active,43999,Construction,2021-02-01,5.0,London,total-exemption-full
Lee & Walker 485,Cardiff Marketing 486,08325171,ltd,active,18129,Manufacturing,2012-12-11,13.1,West Yorkshire,micro-entity
Brighton Partners 487,Vertex Packaging 488,16053032,ltd,active,64209,Financial Services,2024-10-31,1.3,Bristol,
King & Walker 489,Phoenix Display 490,01703368,ltd,dissolved,18129,Manufacturing,1983-03-01,42.9,London,full
Vanguard Productions 491,,,,,,,,,,
Gamma International 492,RoyalSign,12098312,private-limited-guarant-nsc,active,85600,Education,2019-07-11,6.6,"London, City Of",micro-entity
MF 493,Baker & Johnson 494,13988647,ltd,dissolved,47620,Wholesale & Retail,2022-03-19,3.9,Purley,null
CentralCrea 496,Titan Group 495,03790054,ltd,dissolved,6523,Financial Services,1999-06-15,26.6,Essex,total-exemption-small
Jackson & Edwards 498,Norwich Marketing 503,15443385,ltd,active,"56103,56210,71111",Accommodation & Food,2024-01-25,2.0,London,micro-entity
Morgan & Baker 499,Meridian Creative,16629379,ltd,active,47990,Wholesale & Retail,2025-08-05,0.5,Cardiff,
Leeds Display 500,ExpressPart 502,15787736,ltd,active,18129,Manufacturing,2024-06-19,1.6,London,
Nexus Works 504,Leeds Marketing 505,04515993,ltd,active,45320,Wholesale & Retail,2002-08-21,23.5,Isleworth,total-exemption-full
Central Packaging 507,RoyalComm 506,11364590,ltd,active,74100,Professional Services,2018-05-16,7.7,Berkshire,total-exemption-full
Bradford Systems 510,Zenith Industries 512,NI629910,ltd,active,71111,Professional Services,2015-03-11,10.9,Fermanagh,micro-entity
Stellar Solutions 513,Nottingham Partners 514,16105591,ltd,active,70210,Professional Services,2024-11-27,1.2,Surrey,micro-entity
Premier Labels 516,Cambridge Creative 519,03737238,ltd,active,18140,Manufacturing,1999-03-22,26.9,Berkshire,micro-entity
Mega Works 517,Evans & Hall,03939224,ltd,dissolved,18140,Manufacturing,2000-03-03,25.9,Kent,total-exemption-full
Pacific Partners 518,Cambridge Creative 519,03737238,ltd,active,18140,Manufacturing,1999-03-22,26.9,Berkshire,micro-entity
FCHG 520,Edinburgh Services 521,05607779,ltd,voluntary-arrangement,62090,Information & Communication,2005-10-31,20.3,London,full
Gamma Creative 522,Sheffield Holdings 524,LP015152,limited-partnership,active,,,2012-08-28,13.4,London,null
Plymouth Industries 525,Bath Signs,15260176,ltd,active,47710,Wholesale & Retail,2023-11-03,2.3,Etchingham,dormant
SouthernPart 526,Cambridge Graphics 527,06033020,private-limited-guarant-nsc,active,85590,Education,2006-12-19,19.1,Oxfordshire,micro-entity
Mega Solutions 528,Bristol Solutions 523,03134597,ltd,active,70229,Professional Services,1995-12-06,30.2,West Sussex,micro-entity
Matrix Partners 529,Chester Design 530,01710325,ltd,active,"32990,45400,46420",Manufacturing,1983-03-29,42.9,Oxford,group
Bradford Partners 531,TF,07021487,ltd,dissolved,85590,Education,2009-09-17,16.4,Ilford,micro-entity
IKJ 533,Harris & Evans 534,06414289,ltd,active,46180,Wholesale & Retail,2007-10-31,18.3,Cheshire,total-exemption-full
Chester Holdings 535,Norwich Associates 536,01586493,ltd,administration,46900,Wholesale & Retail,1981-09-17,44.4,Barnet,total-exemption-full
Ultra Marketing 537,Plymouth Signs 538,09941668,ltd,active,82990,Administrative Services,2016-01-08,10.1,Buckingham,total-exemption-full
UrbanEnte 539,VectorAsso 444,09157348,ltd,dissolved,"70221,78300",Professional Services,2014-08-01,11.5,Liverpool,total-exemption-full
Flex Creative 540,FlexIndu 541,07726578,ltd,active,58190,Information & Communication,2011-08-02,14.5,Hampshire,total-exemption-full
York Productions 542,Pacific Creative,02603628,ltd,active,46760,Wholesale & Retail,1991-04-22,34.8,Cheshire,total-exemption-full
Nexus Industries 544,Northern Systems 545,12952760,ltd,active,"58290,63110,63990,68320",Information & Communication,2020-10-15,5.3,Cardiff,total-exemption-full
Pro Packaging 546,Global Works 547,OE023704,registered-overseas-entity,registered,,,2023-02-06,3.0,Douglas,
MetroTech 548,Newcastle Design,12725961,ltd,active,62020,Information & Communication,2020-07-07,5.6,London,dormant
Belfast Labels 549,Johnson & Wilson 891,16007581,ltd,active,58110,Information & Communication,2024-10-09,1.3,Hexham,
Summit Creative 550,Jackson & Johnson 551,06393399,ltd,dissolved,,,2007-10-08,18.3,Somerset,null
TFKC 552,Belfast Signs,15013734,ltd,dissolved,16230,Manufacturing,2023-07-19,2.5,Middlesex,total-exemption-full
Pinnacle Media 555,Allen & Thompson 556,07610040,ltd,dissolved,64999,Financial Services,2011-04-19,14.8,Cambridge,dormant
Quantum Technologies 557,Royal Holdings 607,06620188,ltd,dissolved,74990,Professional Services,2008-06-13,17.6,Kent,dormant
Central Industries 560,SwiftGrap,SC840322,ltd,active,71122,Professional Services,2025-03-06,0.9,Dunfermline,
Chester Communications 565,Central Display 566,04599904,ltd,dissolved,70229,Professional Services,2002-11-25,23.2,North Yorkshire,micro-entity
Manchester Signs 567,Atlantic Partners 568,06585543,ltd,active,"23990,30990,32990",Manufacturing,2008-05-06,17.7,Derbyshire,medium
Norwich Creative 570,Apex Print 569,03143748,ltd,dissolved,62020,Information & Communication,1996-01-04,30.1,London,total-exemption-small
Coventry Enterprises 574,Apex Communications 575,04009638,ltd,active,18129,Manufacturing,2000-06-07,25.7,Nottingham,total-exemption-full
Atlantic Communications 576,Martin & Thompson 578,02876979,ltd,active,46719,Wholesale & Retail,1993-12-01,32.2,Co Durham,total-exemption-full
Nottingham Solutions 577,Cambridge Group,11641285,ltd,active,70229,Professional Services,2018-10-24,7.3,West Midlands,micro-entity
NexusPart 579,EC 589,03297334,ltd,active,69201,Professional Services,1996-12-30,29.1,Shropshire,micro-entity
Flex Group 580,PacificPart,10179292,ltd,active,86220,Health & Social,2016-05-13,9.7,Hampshire,total-exemption-full
York Systems 581,Meridian Holdings 585,01794730,ltd,active,32990,Manufacturing,1984-02-24,41.9,Hertfordshire,total-exemption-full
Southern Display 593,SAC 594,03923107,ltd,active,93290,Arts & Entertainment,2000-02-10,26.0,Gatwick,micro-entity
PinnacleGrap 595,StellarPack 598,02629340,ltd,active,47730,Wholesale & Retail,1991-07-15,34.6,Essex,total-exemption-full
Pacific Media 596,Liverpool Services 597,06869993,ltd,active,"74100,82920",Professional Services,2009-04-04,16.8,Chesterfield,micro-entity
MeridianWork 599,TA 601,12441076,ltd,active,47760,Wholesale & Retail,2020-02-04,6.0,Cardiff,total-exemption-full
Thompson & Morgan 600,TA 601,12441076,ltd,active,47760,Wholesale & Retail,2020-02-04,6.0,Cardiff,total-exemption-full
Norwich Design 602,Newcastle Display 603,03308885,ltd,dissolved,74990,Professional Services,1997-01-28,29.0,Isle Of Wight,total-exemption-small
Beta Graphics 605,Hall & Green 606,06954122,ltd,dissolved,47599,Wholesale & Retail,2009-07-07,16.6,London,total-exemption-small
Metro Graphics 608,VanguardDesi 609,05926633,ltd,active,68100,Real Estate,2006-09-06,19.4,Cardiff,micro-entity
Continental Industries 610,Sigma Partners 611,05527214,ltd,active,82990,Administrative Services,2005-08-03,20.5,Cambridgeshire,total-exemption-full
Prime Productions 613,RoyalSyst 614,11885178,ltd,active,18129,Manufacturing,2019-03-15,6.9,Surrey,total-exemption-full
Cardiff Works 615,Sterling Display 616,08646037,ltd,dissolved,,,2013-08-12,12.5,Surrey,null
BJEN 618,Premier Group 619,13020394,ltd,active,64209,Financial Services,2020-11-15,5.2,London,group
VectorSign 621,Hall & Roberts 625,15921557,ltd,active,56103,Accommodation & Food,2024-08-28,1.4,Leicester,
Smith & Clarke 622,Southampton Services 626,12389071,ltd,active,63990,Information & Communication,2020-01-07,6.1,London,micro-entity
Beta Creative 623,DeltaPart,10119550,ltd,active,43210,Construction,2016-04-12,9.8,Warwickshire,total-exemption-full
Prime Display 624,Oxford Manufacturing 627,OC382813,llp,dissolved,,,2013-02-25,12.9,London,
National Partners 628,RapidComm 629,04216963,ltd,dissolved,74990,Professional Services,2001-05-15,24.7,Liverpool,dormant
Superior Creative 630,Leicester Communications 631,15369288,ltd,dissolved,47760,Wholesale & Retail,2023-12-23,2.1,Cardiff,
Thompson & Lewis 633,Apex Works 632,12746789,ltd,active,"18129,18130,63110",Manufacturing,2020-07-16,5.5,Dagenham,group
Superior International 638,Oxford Creative 639,11868985,ltd,active,82990,Administrative Services,2019-03-08,6.9,Swindon,micro-entity
Brown & Brown 641,Walker & White 640,04130027,ltd,active,"46900,47789",Wholesale & Retail,2000-12-22,25.1,Bedfordshire,small
York Systems 647,Rapid Signs 666,04797293,ltd,dissolved,99999,International Organisations,2003-06-12,22.6,London,dormant
Leeds Manufacturing 648,Vanguard Holdings 650,14115521,ltd,dissolved,"18129,82920",Manufacturing,2022-05-18,3.7,Warwickshire,null
Vanguard Holdings 650,Vanguard Holdings 650,14115521,ltd,dissolved,"18129,82920",Manufacturing,2022-05-18,3.7,Warwickshire,null
NovaManu 652,Glasgow Manufacturing 653,12743241,ltd,dissolved,18129,Manufacturing,2020-07-15,5.6,Bromsgrove,dormant
NovaEnte 654,Southern Media 656,03590464,ltd,active,46760,Wholesale & Retail,1998-06-30,27.6,Wellingborough,full
Prime Technologies 655,Southern Media 656,03590464,ltd,active,46760,Wholesale & Retail,1998-06-30,27.6,Wellingborough,full
CSNE 657,Nottingham Productions 658,03483147,ltd,active,74909,Professional Services,1997-12-18,28.1,Essex,total-exemption-full
Davies & Hall 659,TDMO,07433884,ltd,active,96090,Other Services,2010-11-09,15.2,Gloucestershire,total-exemption-full
White & Lewis 660,Flex Productions 661,15577855,ltd,dissolved,18129,Manufacturing,2024-03-19,1.9,Rotherham,
National Systems 662,Cambridge Creative 678,06335685,ltd,liquidation,18129,Manufacturing,2007-08-07,18.5,Somerset,micro-entity
Phoenix Communications 664,Allen & Brown 663,07543519,ltd,active,18129,Manufacturing,2011-02-25,14.9,Croydon,micro-entity
OZV 667,Chester Labels 668,11291470,ltd,active,"18129,90030",Manufacturing,2018-04-04,7.8,Oxfordshire,micro-entity
EasternEnte 669,Dynamic Services 670,07757753,ltd,dissolved,18129,Manufacturing,2011-08-31,14.4,Conwy,total-exemption-small
Precision Technologies 671,Global Signs 672,05924306,ltd,active,82990,Administrative Services,2006-09-04,19.4,Devon,total-exemption-full
SZ 673,Portsmouth Creative 674,05537439,ltd,active,96090,Other Services,2005-08-16,20.5,Farnham,micro-entity
PrecisionMark 677,Matrix Labels 691,03991467,ltd,dissolved,"2215,2222",Manufacturing,2000-05-12,25.7,Middx,total-exemption-small
Stellar Manufacturing 680,QuantumGrou 681,05378360,ltd,dissolved,18129,Manufacturing,2005-02-28,20.9,Kent,unaudited-abridged
Southern Media 682,Cambridge Services 683,05390213,ltd,liquidation,18129,Manufacturing,2005-03-11,20.9,London,
Lewis & Walker 684,Leeds Graphics 968,15965172,ltd,active,"95120,95210,96090",Other Services,2024-09-18,1.4,London,
PhoenixDisp 685,MegaSyst 686,09580395,ltd,active,18129,Manufacturing,2015-05-07,10.7,Cambridge,micro-entity
Birmingham Enterprises 687,,,,,,,,,,
UrbanMedi 689,OmegaIndu 690,15100781,ltd,dissolved,47910,Wholesale & Retail,2023-08-28,2.4,England,
Birmingham Works 692,Pro Enterprises 693,04046514,ltd,active,47789,Wholesale & Retail,2000-08-03,25.5,Wiltshire,total-exemption-full
UJHB 694,Sheffield Industries 695,SC093573,ltd,active,18129,Manufacturing,1985-06-03,40.7,Lanarkshire,total-exemption-full
Beta Packaging 697,Western Media 699,14953431,ltd,dissolved,56102,Accommodation & Food,2023-06-22,2.6,London,
OCLU 698,WesternDesi,09532726,ltd,dissolved,58190,Information & Communication,2015-04-09,10.8,Cornwall,micro-entity
Plymouth Graphics 700,Leicester Media 701,00966207,ltd,active,46760,Wholesale & Retail,1969-11-14,56.2,Newmarket,audit-exemption-subsidiary
Continental Works 702,Thomas & Johnson,04023148,private-limited-guarant-nsc,active,98000,Household Activities,2000-06-28,25.6,Surrey,micro-entity
Morgan & Wilson 703,Newcastle Display 704,15034890,ltd,active,"56102,56290",Accommodation & Food,2023-07-28,2.5,London,total-exemption-full
Express Services 705,Express Services 705,CS002238,converted-or-closed,,,,,,,null
Plymouth Marketing 706,Apex Packaging,15313980,ltd,active,"46900,96090",Wholesale & Retail,2023-11-28,2.2,Bedford,micro-entity
SterlingManu 712,Lee & Hughes 713,04665392,ltd,active,"18129,22290",Manufacturing,2003-02-13,23.0,Buckingham,micro-entity
Hughes & Jones 714,Thomas & Harris 717,03109611,private-limited-guarant-nsc,active,94920,Other Services,1995-10-03,30.3,London,total-exemption-full
FJ 715,VertexDesi 716,03313874,ltd,active,46180,Wholesale & Retail,1997-02-06,29.0,West Yorkshire,total-exemption-full
ASC 718,Superior Works 721,06913393,ltd,active,41100,Construction,2009-05-22,16.7,Kent,total-exemption-full
Royal Enterprises 722,Wilson & Clarke 723,12166923,ltd,liquidation,43390,Construction,2019-08-21,6.5,Leicester,micro-entity
Smith & Thompson 724,Bath Marketing 725,12285030,ltd,active,73110,Professional Services,2019-10-28,6.3,Llandudno,micro-entity
Sigma Systems 727,Coastal International 730,09338276,ltd,active,58190,Information & Communication,2014-12-03,11.2,Surrey,dormant
Jones & Hughes 728,Wright & Hughes,14682773,private-limited-guarant-nsc,active,98000,Household Activities,2023-02-22,2.9,Swadlincote,dormant
Smith & Taylor 729,Coastal International 730,09338276,ltd,active,58190,Information & Communication,2014-12-03,11.2,Surrey,dormant
MaxManu 731,Coastal International 730,09338276,ltd,active,58190,Information & Communication,2014-12-03,11.2,Surrey,dormant
SummitAsso 732,Coastal International 730,09338276,ltd,active,58190,Information & Communication,2014-12-03,11.2,Surrey,dormant
ProPack 733,Coastal International 730,09338276,ltd,active,58190,Information & Communication,2014-12-03,11.2,Surrey,dormant
Urban Marketing 734,Coastal International 730,09338276,ltd,active,58190,Information & Communication,2014-12-03,11.2,Surrey,dormant
XM 735,CJJ,03628042,ltd,active,98000,Household Activities,1998-09-08,27.4,,micro-entity
Manchester Solutions 736,National Communications 737,03641259,ltd,active,74100,Professional Services,1998-09-30,27.3,Stockport,total-exemption-full
Elite Partners 742,Wright & Martin 741,12931570,ltd,dissolved,81222,Administrative Services,2020-10-06,5.3,London,null
MatrixPrin 744,CK 709,15231876,ltd,dissolved,86900,Health & Social,2023-10-24,2.3,Shipley,
FIK 745,Beta Packaging 746,05298499,ltd,active,"85590,85600",Education,2004-11-26,21.2,Marlow,micro-entity
Bath Enterprises 747,UltraGrou 748,01493898,ltd,active,18129,Manufacturing,1980-04-28,45.8,East Sussex,full
Cambridge Creative 749,Coventry Enterprises 750,14262021,ltd,dissolved,18129,Manufacturing,2022-07-28,3.5,Nottingham,null
Horizon Productions 752,Dynamic Creative 751,10972795,ltd,active,18129,Manufacturing,2017-09-20,8.4,Hook,micro-entity
Alpha Marketing 754,ZZD 755,02910977,ltd,active,46520,Wholesale & Retail,1994-03-21,31.9,Hampshire,dormant
IO 756,EV 757,07870268,ltd,active,46900,Wholesale & Retail,2011-12-05,14.2,Liverpool,medium
Summit Works 758,Atlantic Labels 759,15877888,ltd,active,93290,Arts & Entertainment,2024-08-05,1.5,West Midlands,
Express Enterprises 763,Nexus Group 764,01178715,ltd,active,18129,Manufacturing,1974-07-26,51.5,Leicester,dormant
Wright & Taylor 765,Edwards & Wilson 766,10000423,ltd,active,41202,Construction,2016-02-11,10.0,Carmarthenshire,micro-entity
Delta Print 771,FRF 772,10416837,ltd,active,18129,Manufacturing,2016-10-07,9.3,Kent,micro-entity
Thompson & Harris 778,King & Thompson 777,08994818,ltd,dissolved,86220,Health & Social,2014-04-14,11.8,Dorset,micro-entity
PNWU 779,Belfast Signs 780,07239124,ltd,active,18129,Manufacturing,2010-04-29,15.8,Warwickshire,micro-entity
PrimeGrou 781,Edinburgh Technologies 782,02743719,ltd,active,26511,Manufacturing,1992-08-28,33.4,Buckinghamshire,group
Urban Marketing 783,Matrix Signs,NI632414,ltd,active,43342,Construction,2015-07-10,10.6,Derry,unaudited-abridged
NovaServ 784,RapidInte 440,SC496145,ltd,dissolved,82990,Administrative Services,2015-01-27,11.0,Lanarkshire,null
Pacific Associates 785,NorthernSign 786,12603082,ltd,active,49410,Transport & Storage,2020-05-14,5.7,London,micro-entity
NDVL 788,Northern Enterprises 787,12333982,ltd,active,18129,Manufacturing,2019-11-26,6.2,Chelmsford,micro-entity
Brown & Davies 789,Meridian Systems 797,09255035,ltd,dissolved,86900,Health & Social,2014-10-08,11.3,Cambridge,dormant
MegaComm 790,Flex Marketing,12156240,ltd,active,23610,Manufacturing,2019-08-14,6.5,Hounslow,unaudited-abridged
VertexPart 794,Pro Systems 795,05151971,ltd,dissolved,70221,Professional Services,2004-06-11,21.6,Leamington Spa,micro-entity
AlphaTech 796,Alpha Technologies,09416893,ltd,administration,25500,Manufacturing,2015-02-02,11.0,Manchester,total-exemption-full
Cardiff Media 798,Edinburgh Technologies 799,10802934,ltd,active,82990,Administrative Services,2017-06-05,8.7,Burton On Trent,total-exemption-full
OBE 801,Max Creative 802,09248725,ltd,dissolved,71121,Professional Services,2014-10-03,11.3,Staffordshire,micro-entity
Pinnacle Solutions 803,NovaLabe 804,09275643,ltd,active,86101,Health & Social,2014-10-22,11.3,Bedford,micro-entity
Beta Works 805,QDD 806,01974684,ltd,active,25990,Manufacturing,1986-01-02,40.1,Northampton,medium
Agile Works 807,UltraHold,13246448,ltd,active,"59111,59112,59120,59200",Information & Communication,2021-03-05,4.9,Lincolnshire,dormant
Belfast Media 812,Smith & Thomas 813,07779389,ltd,active,70229,Professional Services,2011-09-19,14.4,Swindon,micro-entity
King & King 815,Phoenix Creative 816,10096052,ltd,dissolved,86900,Health & Social,2016-04-01,9.8,Middlesex,null
Central Graphics 817,,,,,,,,,,
Prime International 818,Phoenix Solutions 821,03131814,ltd,active,47990,Wholesale & Retail,1995-11-29,30.2,London,full
York Associates 819,Vertex Graphics 820,01866979,ltd,active,90030,Arts & Entertainment,1984-11-28,41.2,Merseyside,micro-entity
Harris & Jackson 822,Harris & Wood 823,11045999,ltd,dissolved,70229,Professional Services,2017-11-03,8.2,London,total-exemption-full
PhoenixSign 824,Urban Media 827,06722436,ltd,active,74990,Professional Services,2008-10-13,17.3,London,dormant
Wright & Mitchell 825,Omega Associates 826,06510726,ltd,active,62090,Information & Communication,2008-02-20,18.0,Wiltshire,total-exemption-full
PrecisionMedi 828,Horizon Design 829,02458944,ltd,active,82990,Administrative Services,1990-01-12,36.1,Cardiff,total-exemption-full
Harris & Jones 832,Pacific Marketing,10648143,ltd,active,56101,Accommodation & Food,2017-03-02,8.9,Cornwall,total-exemption-full
Beta Holdings 833,Mega Creative,15950867,ltd,active,96020,Other Services,2024-09-11,1.4,Leicester,
Manchester Display 834,Express Labels,NI610849,ltd,active,58110,Information & Communication,2012-01-25,14.0,County Down,micro-entity
AlphaAsso 836,Bradford Partners 837,15176536,ltd,active,74100,Professional Services,2023-09-30,2.3,High Wycombe,micro-entity
York Manufacturing 838,Evans & Smith 841,00029796,ltd,liquidation,7415,Professional Services,1889-10-21,136.3,West Yorkshire,group
National Holdings 842,GammaServ 843,07166537,ltd,active,99999,International Organisations,2010-02-23,15.9,Gloucestershire,dormant
Bradford Signs 857,Bristol Services 861,00039811,plc,active,70100,Professional Services,1893-10-25,132.3,Derbyshire,group
AtlanticTech 858,Superior Associates 859,04960773,ltd,dissolved,7415,Professional Services,2003-11-12,22.2,Derbyshire,full
